siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 17:00",1.9
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 17:00",0.35
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 17:00",41.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 17:00",25
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 17:00",16.9
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 17:00",16
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 18:00",1.7
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 18:00",0.41
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 18:00",38
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 18:00",17
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 18:00",19
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 18:00",14
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 19:00",1.7
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 19:00",0.35
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 19:00",41.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 19:00",18
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 19:00",16.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 19:00",9
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 20:00",1.7
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 20:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 20:00",48.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 20:00",13
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 20:00",11.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 20:00",14
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 21:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 21:00",0.32
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 21:00",44.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 21:00",18
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 21:00",12.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 21:00",14
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 22:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 22:00",0.27
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 22:00",49.6
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 22:00",21
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 22:00",10.8
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 22:00",9
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 23:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 23:00",0.23
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 23:00",55.2
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 23:00",19
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 23:00",6.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 23:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-03 00:00",1.6
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-03 00:00",0.22
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-03 00:00",54.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-03 00:00",21
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-03 00:00",3.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-03 00:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-03 01:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-03 01:00",0.23
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-03 01:00",53.1
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-03 01:00",22
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-03 01:00",4.3
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-03 01:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-03 02:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-03 02:00",0.21
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-03 02:00",52.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-03 02:00",23
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-03 02:00",3.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-03 02:00",11
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-03 03:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-03 03:00",0.22
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-03 03:00",51.9
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-03 03:00",26
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-03 03:00",3
